,序号,内部编号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
0,1,124,HSSCESI,恒生港股通医疗保健(可投资),697.73,38.72,5.88,664.13,698.7,662.56,659.01,0,4439942144.0
1,2,124,HSCAOMM,恒生A股其他金属及矿物指数,4191.69,229.99,5.81,3938.83,4205.28,3938.83,3961.7,0,73789009920.0
2,3,124,HSSCHES,恒生港股通医疗保健设备和服务,691.7,37.26,5.69,659.38,692.64,657.89,654.44,0,4439942144.0
3,4,124,HSCABIO,恒生A股生物技术指数,2728.7,112.13,4.29,2623.3,2738.88,2623.3,2616.57,0,28703189248.0
4,5,124,HSCADMM,恒生A股一般金属及矿石指数,3883.03,149.42,4.0,3711.76,3888.89,3711.76,3733.61,0,104259751936.0
5,6,125,CESHKB,中华香港生物科技,9134.3,303.99,3.44,8905.19,9139.21,8830.31,8830.31,0,16623947264.0
6,7,124,HSCICO,恒生综合企业指数,1772.74,56.9,3.32,1709.68,1783.69,1708.92,1715.84,125515035,1975121152.0
7,8,124,HSHBI,恒生增幅指数,4677.61,144.64,3.19,4535.05,4682.51,4527.9,4532.97,3812281504,38250791168.0
8,9,124,HSSCSI,恒生港股通软件及半导体(可投资),2360.32,72.75,3.18,2297.5,2361.97,2294.52,2287.57,0,32441719296.0
9,10,124,HSSCSS,恒生港股通软件及半导体指数,2381.52,70.77,3.06,2320.24,2382.99,2317.26,2310.75,0,33048555520.0
10,11,124,HSCAHES,恒生A股医疗保健设备和服务指数,2158.38,56.34,2.68,2103.89,2167.08,2097.01,2102.04,0,23437826304.0
11,12,124,HSCAOF,恒生A股其他金融指数,3444.77,86.93,2.59,3342.37,3451.0,3342.37,3357.84,0,98728443904.0
12,13,124,HSIDI,恒生创新药指数,3286.03,81.66,2.55,3227.62,3287.65,3194.62,3204.37,0,19728364544.0
13,14,124,HSBAIT,恒生沪深港通大湾区IT业指数,4235.44,103.56,2.51,4142.26,4235.98,4142.26,4131.88,0,35269860864.0
14,15,124,HSSCIT,恒生港股通资讯科技业指数,2943.18,70.78,2.46,2881.1,2946.21,2878.21,2872.4,0,40482952960.0
15,16,124,HSCANEM,恒生A股新能源物料指数,4174.99,99.14,2.43,4049.86,4175.67,4049.86,4075.85,0,21248639232.0
16,17,124,HSCAESU,恒生A股能源储存装置指数,4634.86,109.9,2.43,4525.85,4646.18,4525.6,4524.96,0,29387160320.0
17,18,124,HSHKBIO,恒生生物科技指数,15861.33,363.91,2.35,15572.89,15864.45,15443.66,15497.42,0,24131146752.0
18,19,124,HSSCID,恒生港股通创新药指数,3762.65,84.92,2.31,3698.32,3764.55,3658.48,3677.73,0,19387953664.0
19,20,124,HSCAMD,恒生A股医疗设备及用品指数,2204.75,48.81,2.26,2158.92,2209.99,2147.67,2155.94,0,16463216896.0
20,21,124,HSSCHI,恒生港股通中国内地医疗保健指数,3493.05,76.45,2.24,3433.58,3495.13,3395.6,3416.6,0,21128505344.0
21,22,124,HSHCI,恒生医疗保健指数,4072.87,88.44,2.22,4000.64,4073.07,3971.94,3984.43,0,25792844800.0
22,23,124,HSSCB50,恒生沪深港通生物科技50指数,4350.0,90.77,2.13,4267.38,4357.38,4254.61,4259.23,0,49424465152.0
23,24,124,HSCICH,恒生医疗保健业指数,12985.67,268.04,2.11,12767.35,12987.23,12667.79,12717.63,0,25792844800.0
24,25,124,HSMI,恒生综合中型股指数,5007.31,100.86,2.06,4917.99,5007.31,4909.89,4906.45,8229345024,60069654272.0
25,26,124,HSSH,恒生航运主题指数,4687.48,92.81,2.02,4607.16,4687.48,4593.47,4594.67,0,12637012224.0
26,27,124,HSCAPB,恒生A股药品及生物科技指数,3016.51,59.71,2.02,2960.35,3020.58,2960.35,2956.8,0,69298995200.0
27,28,124,HSSCPB,恒生港股通创新药精选指数,2565.73,50.48,2.01,2526.46,2568.29,2496.04,2515.25,0,18051855360.0
28,29,124,HSSCPBI,恒生港股通药品及生技(可投资),2371.31,46.51,2.0,2333.67,2372.79,2314.72,2324.8,0,21352524288.0
29,30,124,HSHKMS,恒生港股通中小型股指数,3216.59,62.69,1.99,3161.92,3216.59,3156.86,3153.9,0,85897416704.0
30,31,124,HSCAAD,恒生A股航空航天与国防指数,4817.94,93.55,1.98,4718.91,4819.24,4718.91,4724.39,0,26370810112.0
31,32,124,HSMSI,恒生综合中小型股指数,3003.5,58.16,1.97,2953.5,3003.5,2948.92,2945.34,0,92431822848.0
32,33,124,HSITI,恒生资讯科技业(可投资)指数,2763.17,51.98,1.92,2714.3,2767.74,2712.4,2711.19,0,43749362688.0
33,34,124,HSIT,恒生资讯科技业指数,2779.47,50.11,1.84,2732.51,2783.61,2730.6,2729.36,0,44403730432.0
34,35,124,HSHKS,恒生港股通小型股指数,2430.97,43.04,1.8,2396.7,2430.97,2392.25,2387.93,0,29636983296.0
35,36,124,HSSIV,恒生小型股(可投资)指数,2134.39,37.26,1.78,2104.84,2134.39,2100.87,2097.13,0,29487275264.0
36,37,125,H11120,香港中盘精选,2857.67,49.39,1.76,2816.13,2857.67,2808.28,2808.28,46235279,36992825856.0
37,38,124,HSPSM,恒生物业服务及管理指数,1979.56,34.01,1.75,1949.57,1981.19,1945.23,1945.55,0,3501916432.0
38,39,124,HSCIIN,恒生工业指数,1198.74,20.53,1.74,1180.41,1198.74,1179.69,1178.21,2968571264,9997109248.0
39,40,124,HSCAP,恒生A股地产指数,1464.91,24.91,1.73,1434.49,1471.66,1432.28,1440.0,0,12091952128.0
40,41,124,HSSI,恒生综合小型股指数,1657.49,27.92,1.71,1636.29,1657.49,1633.32,1629.57,6279819264,32362168064.0
41,42,125,H11143,HKT内地地产,356.28,5.82,1.66,350.59,357.47,349.06,350.46,11177482,4010092464.0
42,43,124,HSSCMII,恒生港股通原材料及工业(可投资),2573.76,41.49,1.64,2527.4,2573.76,2524.28,2532.27,0,18303042304.0
43,44,124,HSSCMI,恒生港股通原材料及工业指数,2604.97,41.98,1.64,2559.72,2604.97,2556.43,2562.99,0,18836808192.0
44,45,124,HSUSB,恒生港美生物科技指数,10128.31,162.6,1.63,9999.52,10129.54,9940.76,9965.71,0,
45,46,124,HSBACS,恒生沪深港通大湾区消费服务指数,2118.49,33.35,1.6,2089.0,2123.84,2084.96,2085.14,0,10168928256.0
46,47,124,HSCAC,恒生A股建筑指数,2635.31,41.43,1.6,2589.83,2644.73,2565.84,2593.88,0,42762852096.0
47,48,124,HSSSHAE,恒生沪深港智能及电动车指数,7304.41,114.5,1.59,7182.21,7328.56,7177.01,7189.91,0,55519718912.0
48,49,124,HSCAIE,恒生A股创业指数,7403.69,114.75,1.57,7316.01,7403.69,7301.45,7288.94,0,100771184640.0
49,50,124,HSSSHID,恒生沪深港创新药精选50指数,7770.67,120.26,1.57,7653.45,7778.23,7619.59,7650.41,0,37280803328.0
50,51,124,HSSCBSI,恒生保险主题指数,3918.16,60.42,1.57,3863.47,3928.65,3856.03,3857.74,0,27701537280.0
51,52,124,HSSSHCE,恒生沪深港清洁能源指数,3777.96,58.24,1.57,3708.08,3778.48,3693.0,3719.72,0,27961977856.0
52,53,124,HSBAI50,恒生沪深港通大湾区创新50指数,6747.72,103.47,1.56,6651.53,6749.14,6651.53,6644.25,0,49964333312.0
53,54,124,HSMPI,恒生中国内地地产指数,1379.59,21.05,1.55,1357.55,1379.7,1351.66,1358.54,0,2052702656.0
54,55,124,HSCSSE,恒生A股专精特新企业指数,5387.13,81.29,1.53,5308.73,5387.13,5308.2,5305.84,0,46214346240.0
55,56,124,HSBAI,恒生沪深港通大湾区工业指数,5092.31,76.43,1.52,5035.05,5092.31,5035.05,5015.88,0,45605712128.0
56,57,124,HSCSS50,恒生A股专精特新50指数,1968.2,29.18,1.5,1940.61,1968.2,1940.24,1939.02,0,27930343936.0
57,58,124,HSCAITH,恒生A股资讯科技器材指数,3992.0,58.87,1.5,3959.19,3993.53,3944.1,3933.13,0,40701177600.0
58,59,124,HSCASEMI,恒生A股半导体指数,4606.19,67.7,1.49,4537.39,4606.19,4534.46,4538.49,0,59582928384.0
59,60,124,HSCATI,恒生沪深港航运主题指数,3769.53,55.08,1.48,3721.16,3769.93,3718.42,3714.45,0,18507374592.0
60,61,124,HSCIMT,恒生原材料业指数,10437.31,148.98,1.45,10216.51,10473.71,10184.29,10288.33,895724672,8839698688.0
61,62,124,HSFCCI,恒生外国公司综合指数,3547.23,49.93,1.43,3547.23,3547.23,3547.23,3497.3,0,564184912.0
62,63,124,HSSCBII,恒生港股通银行保险指数,4062.37,56.99,1.42,4010.96,4070.11,4001.97,4005.38,0,27609378304.0
63,64,124,HSSSHTS,恒生沪深港科技精选50指数,6408.43,87.89,1.39,6326.47,6408.43,6320.9,6320.54,0,28281994496.0
64,65,124,HSCASI,恒生A股软件开发指数,3083.37,42.19,1.39,3034.54,3083.37,3033.24,3041.18,0,39622626048.0
65,66,124,HSCASS,恒生A股软件服务指数,2611.51,34.9,1.35,2572.34,2611.51,2572.09,2576.61,0,56802808064.0
66,67,124,HSPDM,恒生地产及物业管理指数,1001.02,13.34,1.35,987.33,1004.59,984.02,987.68,0,4126942080.0
67,68,124,HSCHDY,恒生中国高股息率指数,3916.2,51.48,1.33,3863.57,3916.2,3855.5,3864.72,0,25185570560.0
68,69,124,HSHE,恒生沪深港通氢能主题指数,7725.51,101.29,1.33,7585.77,7726.28,7554.97,7624.22,0,39501108992.0
69,70,125,CES280,中华280,7185.78,93.5,1.32,7087.07,7187.39,7085.33,7092.28,0,333050798080.0
70,71,124,HSSCCSS,恒生港股通央企优选指数,3522.38,45.66,1.31,3474.89,3523.32,3470.05,3476.72,0,21526128384.0
71,72,125,990001,中华半导体芯片行业指数,8765.9,113.07,1.31,8649.62,8777.75,8642.4,8652.83,0,45272756480.0
72,73,124,HSSCITI,恒生港股通科技主题指数,2975.81,37.77,1.29,2945.16,3000.03,2942.59,2938.04,0,63377029888.0
73,74,124,HSREIT,恒生房地产基金指数,3244.03,41.12,1.28,3200.26,3249.36,3194.86,3202.91,20718203,411196416.0
74,75,124,HSSCSV,恒生港股通国有企业价值指数,4545.26,57.31,1.28,4488.61,4545.26,4476.49,4487.95,0,19839090688.0
75,76,124,HSBANE,恒生沪深港通大湾区新经济指数,6738.51,84.67,1.27,6669.42,6743.45,6669.42,6653.84,0,113389285376.0
76,77,124,HSSCTEI,恒生港股通旅游主题指数,1750.61,21.77,1.26,1737.54,1751.73,1732.64,1728.84,0,6872747776.0
77,78,124,HSCASCI,恒生A股规模全选指数,3462.23,42.67,1.25,3417.34,3462.23,3417.34,3419.56,0,877207072768.0
78,79,124,SZHKDE,国证恒生大湾区数字经济指数,4981.29,60.73,1.23,4921.95,4981.92,4921.95,4920.56,0,48084805376.0
79,80,124,HSMCHYI,恒生中国内地企业高股息率指数,2775.19,33.52,1.22,2740.5,2775.19,2737.5,2741.67,0,32255297792.0
80,81,124,HSCIFN,恒生金融业指数,4767.9,56.91,1.21,4720.29,4768.66,4709.77,4710.99,3111319136,41265469440.0
81,82,124,HSCAE50,恒生A股通ESG50指数,11273.11,132.08,1.19,11119.11,11286.68,11106.97,11141.03,0,88241713152.0
82,83,124,HSSCHYS,恒生港股通红利优选指数,4457.01,51.41,1.17,4402.51,4457.01,4397.11,4405.6,0,18167954688.0
83,84,125,CESG10,中华博彩指数,3177.29,36.08,1.15,3164.68,3202.67,3141.21,3141.21,0,1482110432.0
84,85,124,HSHD30,恒生高息股30指数,3831.67,43.29,1.14,3786.23,3831.67,3783.43,3788.38,0,8810499328.0
85,86,124,HSSCCSV,恒生港股通央企价值指数,4820.35,54.36,1.14,4771.23,4824.28,4754.75,4765.99,0,12571068928.0
86,87,124,HSSCSEL,恒生港股通中国央企ESG领先指数,7716.35,86.68,1.14,7636.99,7732.12,7620.3,7629.67,0,24405767424.0
87,88,124,HSCAICE,恒生A股工业零件及器材指数,4556.99,50.9,1.13,4524.95,4556.99,4516.3,4506.09,0,75864920064.0
88,89,124,HSCAPI,恒生A股药品指数,3121.63,34.81,1.13,3090.49,3123.85,3081.6,3086.82,0,29029255936.0
89,90,124,HSCARI,恒生A股机器人主题指数,6134.84,68.26,1.13,6066.49,6155.95,6066.49,6066.58,0,27418374912.0
90,91,124,H-FIN,恒生中国H股金融行业指数,21429.81,236.91,1.12,21201.72,21478.37,21151.99,21192.9,2046068784,25982005504.0
91,92,124,HSCASUS,恒生A股可持续发展企业指数,3586.59,39.33,1.11,3545.09,3589.83,3541.76,3547.26,0,62679384832.0
92,93,124,HSHK35,恒生香港35,2763.76,30.22,1.11,2739.23,2766.22,2733.87,2733.54,446459120,20662540032.0
93,94,124,HSSCHKC,恒生港股通香港公司指数,2969.31,31.72,1.08,2943.58,2971.73,2938.84,2937.59,0,25165717504.0
94,95,124,HSCAHSI,恒生AH股精明指数,6510.18,69.47,1.08,6434.92,6519.1,6422.47,6440.71,0,7796147456.0
95,96,124,HSCASC,恒生A股特殊化工用品指数,3534.55,37.7,1.08,3483.66,3534.58,3482.24,3496.85,0,45004041728.0
96,97,124,HSSCF,恒生港股通金融业指数,3828.27,40.77,1.08,3790.42,3832.72,3782.93,3787.5,0,41265469440.0
97,98,124,HSSSCHD,恒生沪深港特选高股息率指数,5356.91,56.88,1.07,5296.86,5357.69,5289.47,5300.03,0,21023380480.0
98,99,124,HSBAPC,恒生沪深港通大湾区地产建筑指数,1934.57,20.39,1.07,1910.47,1937.47,1907.48,1914.18,0,9441695232.0
99,100,124,HSBAQG,恒生沪深港通大湾区质量成长指数,3653.04,38.44,1.06,3618.11,3663.42,3617.17,3614.6,0,34181973248.0
